country	continent	year	lifeExp	pop	gdpPercap	food
Korea, Rep.	Asia	1952	47.453	20947571	1030.592226	Kimchi
Mexico	Americas	1952	50.789	30144317	3478.125529	Taco
Korea, Rep.	Asia	1957	52.681	22611552	1487.593537	Kimchi
Mexico	Americas	1957	55.19	35015548	4131.546641	Taco
Korea, Rep.	Asia	1962	55.292	26420307	1536.344387	Kimchi
Korea, Rep.	Asia	1967	57.716	30131000	2029.228142	Kimchi
Mexico	Americas	1962	58.299	41121485	4581.609385	Taco
Mexico	Americas	1967	60.11	47995559	5754.733883	Taco
Mexico	Americas	1972	62.361	55984294	6809.40669	Taco
Korea, Rep.	Asia	1972	62.612	33505000	3030.87665	Kimchi
Japan	Asia	1952	63.03	86459025	3216.956347	Sushi
Korea, Rep.	Asia	1977	64.766	36436000	4657.22102	Kimchi
Mexico	Americas	1977	65.032	63759976	7674.929108	Taco
Japan	Asia	1957	65.5	91563009	4317.694365	Sushi
Korea, Rep.	Asia	1982	67.123	39326000	5622.942464	Kimchi
Mexico	Americas	1982	67.405	71640904	9611.147541	Taco
Japan	Asia	1962	68.73	95831757	6576.649461	Sushi
Canada	Americas	1952	68.75	14785584	11367.16112	Poutine
United Kingdom	Europe	1952	69.18	50430000	9979.508487	Fish&Chips
Mexico	Americas	1987	69.498	80122492	8688.156003	Taco
Korea, Rep.	Asia	1987	69.81	41622000	8533.088805	Kimchi
Canada	Americas	1957	69.96	17010154	12489.95006	Poutine
United Kingdom	Europe	1957	70.42	51430000	11283.17795	Fish&Chips
United Kingdom	Europe	1962	70.76	53292000	12477.17707	Fish&Chips
Canada	Americas	1962	71.3	18985849	13462.48555	Poutine
United Kingdom	Europe	1967	71.36	54959000	14142.85089	Fish&Chips
Japan	Asia	1967	71.43	100825279	9847.788607	Sushi
Mexico	Americas	1992	71.455	88111030	9472.384295	Taco
United Kingdom	Europe	1972	72.01	56079000	15895.11641	Fish&Chips
Canada	Americas	1967	72.13	20819767	16076.58803	Poutine
Korea, Rep.	Asia	1992	72.244	43805450	12104.27872	Kimchi
United Kingdom	Europe	1977	72.76	56179000	17428.74846	Fish&Chips
Canada	Americas	1972	72.88	22284500	18970.57086	Poutine
Japan	Asia	1972	73.42	107188273	14778.78636	Sushi
Mexico	Americas	1997	73.67	95895146	9767.29753	Taco
United Kingdom	Europe	1982	74.04	56339704	18232.42452	Fish&Chips
Canada	Americas	1977	74.21	23796400	22090.88306	Poutine
Korea, Rep.	Asia	1997	74.647	46173816	15993.52796	Kimchi
Mexico	Americas	2002	74.902	102479927	10742.44053	Taco
United Kingdom	Europe	1987	75.007	56981620	21664.78767	Fish&Chips
Japan	Asia	1977	75.38	113872473	16610.37701	Sushi
Canada	Americas	1982	75.76	25201900	22898.79214	Poutine
Mexico	Americas	2007	76.195	108700891	11977.57496	Taco
United Kingdom	Europe	1992	76.42	57866349	22705.09254	Fish&Chips
Canada	Americas	1987	76.86	26549700	26626.51503	Poutine
Korea, Rep.	Asia	2002	77.045	47969150	19233.98818	Kimchi
Japan	Asia	1982	77.11	118454974	19384.10571	Sushi
United Kingdom	Europe	1997	77.218	58808266	26074.53136	Fish&Chips
Canada	Americas	1992	77.95	28523502	26342.88426	Poutine
United Kingdom	Europe	2002	78.471	59912431	29478.99919	Fish&Chips
Canada	Americas	1997	78.61	30305843	28954.92589	Poutine
Korea, Rep.	Asia	2007	78.623	49044790	23348.13973	Kimchi
Japan	Asia	1987	78.67	122091325	22375.94189	Sushi
Japan	Asia	1992	79.36	124329269	26824.89511	Sushi
United Kingdom	Europe	2007	79.425	60776238	33203.26128	Fish&Chips
Canada	Americas	2002	79.77	31902268	33328.96507	Poutine
Canada	Americas	2007	80.653	33390141	36319.23501	Poutine
Japan	Asia	1997	80.69	125956499	28816.58499	Sushi
Japan	Asia	2002	82	127065841	28604.5919	Sushi
Japan	Asia	2007	82.603	127467972	31656.06806	Sushi
